学校名称,科类,批次,平均分,最高分,最低分,最低位次,学位,学科门类,专业,专业名称
吉林大学,理科,本科一批,-,-,601,723,本科,医学,临床医学类,临床医学（“5+3”一体化）
吉林大学,理科,本科一批,-,-,588,1070,本科,医学,临床医学类,临床医学
吉林大学,理科,本科一批,-,-,577,1421,本科,经济学,经济学类,经济学类（经济学院）
吉林大学,理科,本科一批,-,-,576,1459,本科,工学,计算机类,计算机类
吉林大学,理科,本科一批,-,-,574,1531,本科,工学,计算机类,软件工程
吉林大学,理科,本科一批,-,-,572,1612,本科,工学,机械类,车辆工程
吉林大学,理科,本科一批,-,-,572,1612,本科,理学,化学类,化学类
吉林大学,理科,本科一批,-,-,572,1612,本科,理学,生物科学类,生物科学类（生命科学学院）
吉林大学,理科,本科一批,-,-,570,1678,本科,工学,水利类,水利类
吉林大学,理科,本科一批,-,-,570,1678,本科,工学,电子信息类,电子信息类（电子科学与工程学院）
吉林大学,理科,本科一批,-,-,568,1767,本科,工学,电子信息类,通信工程（通信工程学院，含通信工程，信息工程，测控技术与仪器）
吉林大学,理科,本科一批,-,-,567,1814,本科,工学,机械类,机械类
吉林大学,理科,本科一批,-,-,567,1814,本科,管理学,工商管理类,工商管理类（商学院）
吉林大学,理科,本科一批,-,-,566,1853,本科,工学,自动化类,自动化
吉林大学,理科,本科一批,-,-,566,1853,本科,理学,数学类,数学类
吉林大学,理科,本科一批,-,-,566,1853,本科,工学,仪器类,仪器类
吉林大学,理科,本科一批,-,-,566,1853,本科,工学,土木类,土木类
吉林大学,理科,本科一批,-,-,566,1853,本科,工学,能源动力类,能源与动力工程
吉林大学,理科,本科一批,-,-,566,1853,本科,工学,农业工程类,农业机械化及其自动化
吉林大学,理科,本科一批,-,-,565,1884,本科,工学,材料类,材料类
吉林大学,理科,本科一批,-,-,565,1884,本科,工学,交通运输类,交通运输类
吉林大学,理科,本科一批,-,-,565,1884,本科,管理学,管理科学与工程类,管理科学与工程类（管理学院）
吉林大学,文科,本科一批,-,-,600,327,本科,法学,法学类,法学
吉林大学,文科,本科一批,-,-,597,373,本科,文学,新闻传播学类,新闻传播学类
吉林大学,文科,本科一批,-,-,597,373,本科,文学,外国语言文学类,俄语（零起点培养）
哈尔滨金融学院,理科,本科二批,-,-,453,12429,本科,工学,计算机类,软件工程
哈尔滨金融学院,理科,本科二批,-,-,447,13375,本科,管理学,工商管理类,会计学
哈尔滨金融学院,理科,本科二批,-,-,446,13541,本科,经济学,金融学类,保险学
哈尔滨金融学院,文科,本科二批,-,-,517,3466,本科,经济学,金融学类,金融学
哈尔滨金融学院,文科,本科二批,-,-,516,3558,本科,文学,外国语言文学类,英语
四川农业大学,理科,本科一批,-,-,480,8570,本科,经济学,金融学类,金融学
四川农业大学,理科,本科一批,-,-,478,8810,本科,农学,动物生产类,动物科学
四川农业大学,理科,本科一批,-,-,477,8950,本科,管理学,农业经济管理类,农林经济管理
四川农业大学,理科,本科一批,-,-,476,9100,本科,管理学,管理科学与工程类,工程造价
四川农业大学,理科,本科一批,-,-,475,9232,本科,工学,环境科学与工程类,环境生态工程
四川农业大学,理科,本科一批,-,-,472,9683,本科,经济学,经济学类,经济学
四川农业大学,理科,本科一批,-,-,470,9942,本科,工学,农业工程类,农业机械化及其自动化
四川农业大学,理科,本科一批,-,-,469,10082,本科,理学,物理学类,应用物理学
四川农业大学,理科,本科一批,-,-,468,10213,本科,理学,生物科学类,生物科学
四川农业大学,理科,本科一批,-,-,466,10492,本科,工学,土木类,土木工程
四川农业大学,理科,本科一批,-,-,465,10639,本科,农学,植物生产类,烟草
四川农业大学,理科,本科一批,-,-,464,10802,本科,管理学,旅游管理类,旅游管理
四川农业大学,理科,本科一批,-,-,464,10802,本科,工学,能源动力类,能源与动力工程
四川农业大学,理科,本科一批,-,-,464,10802,本科,工学,电气类,电气工程及其自动化
四川农业大学,理科,本科一批,-,-,464,10802,本科,工学,食品科学与工程类,食品科学与工程
安康学院,理科,本科二批,-,-,439,14634,本科,工学,食品科学与工程类,食品科学与工程
安康学院,文科,本科二批,-,-,506,4340,本科,理学,地理科学类,地理科学
河南财政金融学院,理科,本科二批,-,-,444,13851,本科,工学,计算机类,计算机科学与技术
河南财政金融学院,理科,本科二批,-,-,443,14006,本科,管理学,管理科学与工程类,工程造价
河南财政金融学院,文科,本科二批,-,-,501,4770,本科,管理学,工商管理类,会计学
河南财政金融学院,文科,本科二批,-,-,500,4838,本科,管理学,电子商务类,电子商务
河南财政金融学院,文科,本科二批,-,-,499,4908,本科,经济学,金融学类,投资学
西北民族大学,理科,本科二批,-,-,459,11548,本科,管理学,工商管理类,会计学
西北民族大学,理科,本科二批,-,-,455,12168,本科,经济学,金融学类,金融学
西北民族大学,理科,本科二批,-,-,454,12306,本科,医学,临床医学类,临床医学
西北民族大学,理科,本科二批,-,-,454,12306,本科,医学,口腔医学类,口腔医学
西北民族大学,理科,本科二批,-,-,451,12715,本科,理学,数学类,数学与应用数学
西北民族大学,理科,本科二批,-,-,450,12897,本科,管理学,工商管理类,财务管理
西北民族大学,理科,本科二批,-,-,450,12897,本科,管理学,工商管理类,工商管理
西北民族大学,理科,本科二批,-,-,450,12897,本科,经济学,经济学类,经济学
西北民族大学,理科,本科二批,-,-,448,13225,本科,工学,电气类,电气工程及其自动化
西北民族大学,理科,本科二批,-,-,447,13375,本科,医学,医学技术类,医学检验技术
西北民族大学,理科,本科二批,-,-,447,13375,本科,经济学,经济与贸易类,国际经济与贸易
西北民族大学,理科,本科二批,-,-,447,13375,本科,工学,计算机类,计算机科学与技术
西北民族大学,理科,本科二批,-,-,446,13541,本科,理学,心理学类,应用心理学
西北民族大学,理科,本科二批,-,-,446,13541,本科,经济学,金融学类,保险学
西北民族大学,理科,本科二批,-,-,444,13851,本科,工学,自动化类,自动化
西北民族大学,理科,本科二批,-,-,443,14006,本科,工学,计算机类,物联网工程
西北民族大学,理科,本科二批,-,-,443,14006,本科,工学,土木类,土木工程
西北民族大学,理科,本科二批,-,-,443,14006,本科,理学,数学类,信息与计算科学
西北民族大学,理科,本科二批,-,-,443,14006,本科,工学,生物工程类,生物工程
西北民族大学,理科,本科二批,-,-,442,14181,本科,工学,电子信息类,通信工程
西北民族大学,理科,本科二批,-,-,442,14181,本科,理学,化学类,应用化学
西北民族大学,理科,本科二批,-,-,442,14181,本科,医学,护理学类,护理学
西北民族大学,理科,本科二批,-,-,441,14319,本科,教育学,教育学类,教育技术学
西北民族大学,理科,本科二批,-,-,441,14319,本科,工学,计算机类,软件工程
西北民族大学,理科,本科二批,-,-,441,14319,本科,工学,化工与制药类,制药工程
西北民族大学,理科,本科二批,-,-,440,14481,本科,工学,材料类,无机非金属材料工程
西北民族大学,理科,本科二批,-,-,440,14481,本科,工学,环境科学与工程类,环境工程
西北民族大学,理科,本科二批,-,-,440,14481,本科,农学,动物医学类,动物医学
西北民族大学,理科,本科二批,-,-,440,14481,本科,工学,食品科学与工程类,食品科学与工程
西北民族大学,理科,本科二批,-,-,440,14481,本科,工学,材料类,高分子材料与工程
西北民族大学,理科,本科二批,-,-,440,14481,本科,工学,电子信息类,电子信息工程
西北民族大学,理科,本科二批,-,-,439,14634,本科,农学,动物生产类,动物科学
西北民族大学,理科,本科二批,-,-,439,14634,本科,历史学,历史学类,文物保护技术
西北民族大学,理科,本科二批,-,-,439,14634,本科,工学,计算机类,数字媒体技术
西北民族大学,理科,本科二批,-,-,439,14634,本科,工学,化工与制药类,化学工程与工艺
西北民族大学,理科,本科二批,-,-,439,14634,本科,理学,生物科学类,生物技术
西北民族大学,文科,本科二批,-,-,517,3466,本科,经济学,金融学类,金融学
西北民族大学,文科,本科二批,-,-,517,3466,本科,管理学,工商管理类,会计学
西北民族大学,文科,本科二批,-,-,512,3852,本科,文学,中国语言文学类,汉语言文学
西北民族大学,文科,本科二批,-,-,512,3852,本科,经济学,经济学类,经济学
