学校名称,计划数,最低分数
北京物资学院,7,467.149097105
北京联合大学,2,467.158093094
中国劳动关系学院,7,460.138098108
天津理工大学,43,461.178081091
天津职业技术师范大学,15,443.174068084
天津商业大学,11,460.154104098
天津城建大学,35,452.194090066
天津农学院,15,443.154067102
天津中德应用技术大学,26,436.170090080
河北工程大学,19,451.194106090
华北理工大学,8,458.156095099
河北地质大学,16,434.140089092
河北科技师范学院,15,432.155089084
河北医科大学,4,456.151097098
河北师范大学,5,458.160097097
邢台学院,10,432.143098075
华北科技学院,103,443.139080091
河北金融学院,12,440.142091093
防灾科技学院,5,434.195077093
邯郸学院,4,438.144087090
张家口学院,3,447.137096101
河北环境工程学院,26,432.145092095
太原科技大学,10,453.149107095
山西农业大学,13,439.127090103
山西医科大学,26,466.154087114
山西中医药大学,19,451.176082102
山西大同大学,5,438.161111099
太原师范学院,18,445.145110088
长治医学院,20,456.170096094
晋中学院,15,442.140105094
运城学院,5,432.151092098
吕梁学院,42,432.150072101
太原工业学院,20,432.144083105
山西传媒学院,3,432.122090097
太原学院,15,432.150097086
山西工程技术学院,11,432.171113108
内蒙古科技大学,22,440.163106083
内蒙古工业大学,10,432.154095096
内蒙古农业大学,10,434.122110091
内蒙古医科大学,8,466.169111089
内蒙古师范大学,15,435.152063096
内蒙古民族大学,10,433.164056086
内蒙古财经大学,4,447.153098088
辽宁科技大学,18,449.167102092
辽宁石油化工大学,15,439.148096082
沈阳化工大学,10,443.150088094
大连交通大学,7,466.182126105
大连工业大学,1,433.154103099
辽宁工业大学,8,448.171077108
锦州医科大学,5,438.123092092
大连大学,7,458.179116091
沈阳工程学院,6,451.164088095
大连民族大学,46,438.190096075
大连海洋大学,10,449.155095087
沈阳医学院,13,460.178108101
吉林农业大学,18,438.160092085
长春中医药大学,11,464.176084097
北华大学,20,449.162091097
吉林师范大学,7,448.150128097
吉林财经大学,17,460.172106092
吉林化工学院,50,432.181076102
通化师范学院,4,432.155089090
白城师范学院,3,435.130097102
吉林工商学院,10,435.189084087
长春工程学院,82,434.129092090
吉林农业科技学院,7,434.158086087
长春大学,13,448.194098086
吉林医药学院,20,433.163089089
黑龙江科技大学,20,438.156082093
佳木斯大学,10,433.128097082
哈尔滨医科大学,5,459.183118082
哈尔滨师范大学,12,451.188079093
齐齐哈尔大学,5,435.126115087
齐齐哈尔医学院,5,456.189069096
哈尔滨学院,3,435.150083089
哈尔滨金融学院,6,446.136090095
上海应用技术大学,14,450.145078093
上海工程技术大学,6,463.173085096
上海电机学院,12,452.142097104
上海商学院,8,459.165080102
上海第二工业大学,29,459.177093086
上海海关学院,5,467.150114087
南通大学,16,462.159101089
盐城工学院,5,441.129110093
盐城师范学院,5,433.138106095
金陵科技学院,12,452.139103092
徐州工程学院,5,432.142078082
南京工程学院,35,457.174071080
南京特殊教育师范学院,4,444.139087086
浙江农林大学,25,455.180100082
嘉兴学院,22,450.147084099
浙江传媒学院,18,439.143077093
淮北师范大学,7,460.138117084
淮南师范学院,20,434.177093100
亳州学院,5,433.125090106
福建农林大学,12,437.168082105
集美大学,21,463.156099090
福建医科大学,4,508.178106094
福建工程学院,33,440.170097090
闽江学院,7,449.187107089
厦门理工学院,9,457.175096077
三明学院,7,435.150088100
龙岩学院,8,432.148089092
福建商学院,3,448.159080092
福建江夏学院,3,452.166107087
武夷学院,4,432.155083088
江西农业大学,4,441.172075092
江西中医药大学,7,458.158100102
江西科技师范大学,10,443.159081087
赣南医学院,10,432.137087094
上饶师范学院,6,442.164090083
井冈山大学,5,442.145071102
南昌工程学院,6,438.150087101
新余学院,5,437.166099086
九江学院,14,435.161093093
萍乡学院,2,433.153085100
青岛理工大学,60,463.177109090
山东建筑大学,13,442.184076075
山东农业大学,8,446.167093088
青岛农业大学,25,448.153103095
潍坊医学院,15,464.183071098
鲁东大学,13,451.155095095
烟台大学,20,461.154091098
滨州医学院,20,465.174103087
德州学院,5,433.140101088
菏泽学院,6,432.155080100
潍坊学院,22,440.160086088
山东交通学院,30,433.169086100
山东工商学院,20,451.130101115
济宁医学院,10,454.170084106
滨州学院,9,434.159086089
滨州学院,9,434.159086089
河南理工大学,25,448.151113089
郑州轻工业学院,28,440.167088089
河南工业大学,42,456.163103095
河南科技大学,50,452.164106089
中原工学院,32,432.129091096
河南中医药大学,6,452.164097089
新乡医学院,18,465.195103085
信阳师范学院,10,432.163088081
河南财经政法大学,8,452.151111079
洛阳师范学院,8,439.172090067
河南工程学院,14,432.152108082
河南农业大学,6,433.108090104
郑州航空工业管理学院,6,451.163122081
河南科技学院,8,432.171097090
周口师范学院,4,442.149099082
许昌学院,10,435.157067098
南阳师范学院,11,432.144097095
黄淮学院,5,436.156102094
洛阳理工学院,16,432.159086083
安阳工学院,6,432.154123083
南阳理工学院,18,434.163084087
郑州师范学院,2,441.171077092
河南财政金融学院,5,443.178097080
河南工学院,10,437.120097094
长江大学,12,457.154116097
武汉轻工大学,5,452.213101092
武汉纺织大学,2,436.134096101
湖北中医药大学,7,448.159110090
湖北文理学院,6,435.162055097
湖北理工学院,5,434.136080095
湖北医药学院,10,448.174082089
湖北经济学院,5,439.124102102
湖南理工学院,6,453.159103089
湖南财政经济学院,11,456.144099093
衡阳师范学院,8,438.145108093
邵阳学院,19,432.130080099
湖南文理学院,4,439.140094087
湖南人文科技学院,3,434.146095087
湖南商学院,12,460.172087099
湖南城市学院,7,433.137105102
湖南工学院,30,441.161097085
湖南医药学院,5,453.155096092
韶关学院,10,434.156104086
惠州学院,2,438.144085094
广东金融学院,5,460.163096084
广东技术师范学院,15,432.149086094
北京师范大学珠海分校,6,453.138094108
广西科技大学,24,439.161123072
广西民族大学,7,437.154081088
桂林理工大学,16,432.155092079
钦州学院,9,432.125094099
桂林旅游学院,2,432.145108089
海南师范大学,8,461.166097096
海南医学院,18,459.150089106
琼台师范学院,5,432.132098102
重庆师范大学,10,467.168098097
重庆工商大学,22,460.175095089
重庆文理学院,11,450.167105087
重庆三峡学院,8,446.178107089
长江师范学院,19,432.151092086
重庆科技学院,10,432.165123087
西南科技大学,8,448.175098084
中国民用航空飞行学院,20,461.201117098
成都中医药大学,10,468.159111103
川北医学院,7,453.137117093
西南民族大学,79,449.145105095
西南医科大学,5,448.181088098
四川理工学院,7,433.136077102
成都医学院,6,448.165090079
绵阳师范学院,6,440.156103094
内江师范学院,8,432.144095093
四川文理学院,10,432.143085087
乐山师范学院,19,433.158103092
成都工业学院,26,452.173089086
攀枝花学院,5,437.140097097
贵州医科大学,5,481.185101095
贵州财经大学,3,450.148101105
贵州理工学院,6,432.175110095
遵义师范学院,6,441.161102082
西南林业大学,10,445.145090100
昆明医科大学,5,495.181093098
大理大学,6,438.157088090
云南财经大学,5,454.155104098
云南农业大学,10,441.150096097
云南警官学院,3,446.167098093
玉溪师范学院,2,440.161079093
文山学院,5,432.119105102
西安工程大学,19,453.140105082
陕西中医药大学,10,467.152104092
延安大学,12,443.148098095
陕西理工大学,2,442.156095087
西安财经学院,23,462.146101095
咸阳师范学院,12,453.167085093
渭南师范学院,2,442.144099093
西安文理学院,8,452.151094101
榆林学院,15,433.177091100
安康学院,2,439.176114091
西安医学院,22,462.168085107
兰州理工大学,31,461.169102079
甘肃农业大学,5,444.160073089
西北师范大学,17,459.176104082
兰州财经大学,20,456.165099096
西北民族大学,185,439.142103086
甘肃政法学院,5,456.167099096
甘肃中医药大学,12,453.208102079
甘肃医学院,11,466.146100086
甘肃医学院,11,466.146100086
陇东学院,10,433.119123088
兰州城市学院,6,435.193091078
甘肃民族师范学院,4,432.127091080
天水师范学院,6,445.181099091
河西学院,4,440.142112097
兰州文理学院,5,437.164071096
宁夏大学,410,436.134093088
宁夏大学,410,436.134093088
宁夏大学,410,436.134093088
宁夏医科大学,72,441.144078091
北方民族大学,385,442.168084089
宁夏师范学院,754,443.142108102
石河子大学,7,446.163085090
塔里木大学,50,432.139090091
新疆农业大学,10,435.171082104
新疆师范大学,7,442.179072078
喀什大学,5,433.159104104
新疆工程学院,15,436.135105084
伊犁师范学院,3,434.138116084
