学校名称,计划数,最低分数
,2,637.271120103
北京大学,8,658.250138120
清华大学,13,655.257137118
中国人民大学,7,629.248125113
北京航空航天大学,17,626.234133118
北京理工大学,30,601.230124112
中国农业大学,11,539.205123100
北京师范大学,13,590.241121112
中央民族大学,34,550.196111107
北京大学医学部,9,643.266132115
北京交通大学,51,571.232105106
北京科技大学,35,559.191131101
北京化工大学,54,540.201091109
北京邮电大学,10,543.193114104
北京邮电大学,10,543.193114104
北京林业大学,37,533.184103103
北京中医药大学,27,530.183083107
北京外国语大学,4,575.186119112
中国传媒大学,10,562.234109097
中央财经大学,3,618.215125123
中央财经大学,3,618.215125123
北京体育大学,17,494.164098100
中国政法大学,25,519.187108107
中国政法大学,25,519.187108107
中国政法大学,25,519.187108107
中国政法大学,25,519.187108107
中国政法大学,25,519.187108107
北京工业大学,4,505.175103101
北京工业大学,4,505.175103101
北方工业大学,20,502.164120110
北京工商大学,26,501.167087110
首都经济贸易大学,10,545.196121104
北京信息科技大学,32,507.179111109
北京印刷学院,10,459.147083111
北京建筑大学,6,496.183103100
北京物资学院,15,471.191076094
南开大学,18,573.210102112
天津大学,36,592.215117122
天津医科大学,12,537.171101117
河北工业大学,20,523.187098109
天津科技大学,66,489.173090091
天津工业大学,42,493.192099099
中国民航大学,28,457.183076101
天津理工大学,39,466.185102092
天津师范大学,41,505.172096104
天津外国语大学,23,510.184086113
天津财经大学,32,500.182089103
东北大学秦皇岛分校,54,542.200099102
东北大学秦皇岛分校,54,542.200099102
燕山大学,10,522.215108101
华北理工大学,34,462.160082110
石家庄铁道大学,18,468.172072110
河北医科大学,9,554.218108110
河北师范大学,5,458.165076105
太原理工大学,40,512.207104099
中北大学,26,473.149112105
山西医科大学,8,515.202099116
山西财经大学,45,461.168095103
东北大学,36,548.220107108
大连理工大学,9,533.178123106
大连理工大学,9,533.178123106
辽宁大学,10,516.190097112
大连海事大学,23,511.192086101
东北财经大学,11,547.191126109
辽宁科技大学,24,460.159095101
辽宁工程技术大学,33,458.161097095
沈阳建筑大学,18,469.190102090
沈阳农业大学,18,457.185092092
大连医科大学,18,543.197117103
沈阳药科大学,18,482.197082102
沈阳工业大学,39,457.173092101
中国医科大学,7,566.204116114
吉林大学,79,555.217108104
延边大学,11,467.185102104
东北师范大学,16,530.183109111
长春理工大学,15,476.176099094
东北电力大学,67,462.192097090
哈尔滨工业大学,9,606.220118115
哈尔滨工程大学,26,531.205103109
东北林业大学,55,462.166077092
东北农业大学,4,480.169109090
黑龙江大学,16,463.150079110
东北石油大学,15,457.175106101
黑龙江中医药大学,16,476.189103106
哈尔滨商业大学,12,477.183102085
哈尔滨理工大学,35,464.173099092
复旦大学,4,644.248134115
上海交通大学,4,649.261124111
同济大学,27,616.247124109
复旦大学医学院,2,638.264132113
上海交通大学医学院,4,638.244131125
华东理工大学,22,555.198126101
东华大学,32,544.193118110
上海财经大学,22,488.152088109
上海理工大学,68,490.180111102
上海海事大学,38,494.165121099
上海应用技术大学,22,477.129107101
上海海洋大学,6,486.189096100
华东政法大学,10,561.210114105
上海电力大学,18,512.192114106
