学校名称,计划数,最低分数
北京联合大学,2,543.221109093
中国劳动关系学院,11,538.226110092
北京工商大学嘉华学院,2,478.216097098
北京邮电大学世纪学院,1,500.185099099
北京工业大学耿丹学院,6,476.202101081
天津职业技术师范大学,6,526.217094091
天津商业大学,6,540.226107099
天津农学院,3,525.222098107
天津天狮学院,5,485.205094096
天津外国语大学滨海外事学院,6,506.195098109
天津商业大学宝德学院,7,487.192091089
南开大学滨海学院,18,507.211093105
天津理工大学中环信息学院,5,487.171100092
北京科技大学天津学院,4,500.204097109
天津大学仁爱学院,9,498.207099087
天津财经大学珠江学院,10,500.232102097
天津中德应用技术大学,2,524.209114094
河北工程大学,6,530.220101068
河北地质大学,4,527.206095111
河北医科大学,5,522.213108100
邢台学院,10,518.216102095
华北科技学院,26,522.203103116
河北金融学院,10,528.223098098
邯郸学院,8,514.195107115
张家口学院,3,511.195106097
华北理工大学轻工学院,5,467.185107072
河北外国语学院,3,470.193092077
河北科技学院,2,466.183096082
河北东方学院,2,479.203104111
华北电力大学科技学院,1,509.207099113
河北工程大学科信学院,6,499.196099092
石家庄铁道大学四方学院,4,489.200108098
燕京理工学院,4,495.190103092
北京中医药大学东方学院,7,502.226101086
河北地质大学华信学院,8,472.215099087
河北环境工程学院,8,509.205103085
山西农业大学,2,528.195110110
山西医科大学,2,523.217098107
山西中医药大学,12,532.219103103
山西大同大学,10,529.201105118
太原师范学院,18,528.212104111
晋中学院,10,511.217108097
运城学院,5,511.200100120
吕梁学院,10,510.209103102
山西传媒学院,10,515.199102119
太原学院,10,514.205098115
中北大学信息商务学院,4,474.200098085
山西农业大学信息学院,5,480.210104067
山西工程技术学院,5,508.199111111
内蒙古科技大学,3,521.189110113
内蒙古师范大学,15,516.223095109
内蒙古财经大学,4,529.210103099
内蒙古艺术学院,1,505.192104094
赤峰学院,5,510.210103102
呼伦贝尔学院,3,505.204103094
集宁师范学院,5,514.198100097
内蒙古师范大学鸿德学院,3,492.202100093
大连大学,3,529.203112098
沈阳大学,2,535.218111092
鞍山师范学院,2,509.203102092
大连民族大学,8,515.183107094
辽宁师范大学,2,534.214101096
辽宁对外经贸学院,2,468.164092082
大连东软信息学院,6,471.187093084
大连工业大学艺术与信息工程学院,9,465.214092102
沈阳科技学院,6,455.208095082
大连财经学院,10,478.199106089
长春中医药大学,6,470.161099101
吉林师范大学,9,527.228115103
吉林财经大学,8,538.196113115
通化师范学院,4,508.205105106
白城师范学院,2,517.186109104
吉林工商学院,10,517.225114122
长春工程学院,2,519.209102123
吉林农业科技学院,2,508.221103101
长春大学,4,529.195107118
吉林外国语大学,16,491.198099090
长春理工大学光电信息学院,4,480.197103093
长春财经学院,6,491.221095082
长春大学旅游学院,16,473.182105083
哈尔滨师范大学,8,524.218090104
齐齐哈尔大学,3,523.230105101
哈尔滨学院,2,517.220100093
哈尔滨金融学院,4,502.207105098
黑龙江财经学院,12,455.201096088
上海商学院,7,537.220090110
上海海关学院,6,543.207112128
上海杉达学院,24,456.168105085
上海建桥学院,7,484.182103085
上海外国语大学贤达经济人文学院,5,489.190103090
南通大学,5,541.205114101
盐城师范学院,10,515.211105090
金陵科技学院,4,528.173111101
徐州工程学院,30,514.233100077
南京工程学院,20,529.206104107
南京晓庄学院,10,531.199108100
南京航空航天大学金城学院,4,495.197104094
南京信息工程大学滨江学院,8,499.200104113
南京邮电大学通达学院,2,500.208096089
南京审计大学金审学院,4,513.198101095
常州大学怀德学院,12,491.192090100
南京特殊教育师范学院,9,512.223093079
浙江农林大学,10,540.211098110
嘉兴学院,7,536.210107101
浙江传媒学院,10,544.221105099
宁波大学科学技术学院,5,486.198102102
淮北师范大学,8,532.220108111
安庆师范大学,5,524.218099121
安徽财经大学商学院,7,500.163108110
亳州学院,3,511.181117099
福建农林大学,6,517.207100113
集美大学,4,545.218095121
闽江学院,5,529.211092104
厦门理工学院,4,533.206104107
三明学院,6,511.207110108
福建商学院,4,529.217107106
福建江夏学院,2,530.194103116
武夷学院,4,512.204103080
厦门大学嘉庚学院,16,511.219095097
福州大学至诚学院,9,493.184093122
厦门工学院,6,480.186106095
江西农业大学,6,531.226103117
江西中医药大学,2,512.201103104
江西科技师范大学,1,522.199096104
上饶师范学院,14,521.209099096
南昌工程学院,4,527.196093114
新余学院,4,513.220106100
九江学院,12,516.197105101
南昌理工学院,4,480.188098093
江西科技学院,6,471.217103087
南昌工学院,2,483.224104096
江西工程学院,3,475.217100103
华东交通大学理工学院,6,493.186102115
东华理工大学长江学院,3,491.201095107
江西理工大学应用科学学院,4,494.206106077
江西中医药大学科技学院,2,503.190107104
江西师范大学科学技术学院,6,505.183097114
江西财经大学现代经济管理学院,4,502.219103104
萍乡学院,1,510.204102112
山东建筑大学,4,536.216094111
山东理工大学,5,535.217106117
山东农业大学,2,527.211116105
青岛农业大学,10,532.229115094
鲁东大学,10,538.222108101
烟台大学,10,543.210100114
德州学院,5,518.211099099
菏泽学院,4,510.228110085
潍坊学院,8,516.213112119
山东交通学院,4,520.208109096
山东工商学院,10,533.196109098
滨州学院,3,519.192108096
齐鲁医药学院,8,499.208095097
山东现代学院,7,472.195106104
烟台南山学院,15,477.206099089
青岛工学院,12,472.188105063
青岛黄海学院,7,467.220102065
山东协和学院,20,465.196100091
山东英才学院,10,463.207101063
青岛恒星科技学院,5,464.205103076
烟台大学文经学院,8,490.197100114
青岛理工大学琴岛学院,8,490.203092108
聊城大学东昌学院,6,495.224101093
齐鲁理工学院,12,470.197097079
河南理工大学,7,512.203098101
郑州轻工业大学,8,525.197102114
河南工业大学,14,532.219099114
河南科技大学,10,536.212116103
中原工学院,8,510.207105101
河南中医药大学,4,520.218106092
河南财经政法大学,7,538.201100117
洛阳师范学院,8,524.212103098
河南工程学院,4,505.193092102
河南农业大学,4,529.200109099
郑州航空工业管理学院,4,524.205103118
平顶山学院,8,504.211114086
河南科技学院,4,502.212111091
周口师范学院,2,508.215089105
许昌学院,12,513.201099092
南阳师范学院,3,519.206095110
黄淮学院,20,511.203105113
洛阳理工学院,2,515.209104097
安阳工学院,4,512.198102104
南阳理工学院,5,468.184105080
河南城建学院,3,500.217098078
郑州师范学院,4,521.215094104
黄河科技学院,3,488.221097099
郑州工业应用技术学院,15,465.200089099
河南大学民生学院,10,465.194095090
河南财政金融学院,6,518.204093113
武汉纺织大学,2,523.214118098
湖北中医药大学,3,532.211099112
湖北文理学院,4,524.192105115
湖北理工学院,2,504.212113088
湖北经济学院,5,534.219110108
黄冈师范学院,4,509.241098086
武汉生物工程学院,6,467.195092116
武昌理工学院,2,481.207096095
武昌工学院,10,476.207097083
武汉科技大学城市学院,2,495.210106087
三峡大学科技学院,3,494.225097081
长江大学文理学院,6,496.205100099
湖北文理学院理工学院,4,491.164111103
文华学院,6,496.225110098
武汉华夏理工学院,4,482.186105094
湖南理工学院,2,533.212107103
湖南财政经济学院,9,535.209105120
衡阳师范学院,8,527.227110100
邵阳学院,6,514.224105093
湖南文理学院,6,535.226109111
湖南人文科技学院,2,501.246091100
湖南商学院,8,537.214105111
湖南城市学院,13,520.201114103
长沙医学院,8,482.207096081
湖南涉外经济学院,4,487.181098108
南华大学船山学院,2,494.209110113
湖南理工学院南湖学院,2,501.201117090
长沙理工大学城南学院,2,497.199101089
韶关学院,5,512.195112105
广东金融学院,2,542.198098122
