学校名称,计划数,最低分数
北京大学,9,665.259125132
清华大学,2,666.261124136
中国人民大学,7,655.242124126
北京航空航天大学,2,572.241099112
北京理工大学,2,603.238122117
北京师范大学,6,640.249128124
中央民族大学,24,595.235112110
北京化工大学,10,568.231121091
北京中医药大学,2,613.246117122
北京外国语大学,5,620.254117135
中国传媒大学,8,601.254127113
中央财经大学,4,605.237117117
中央财经大学,4,605.237117117
北京体育大学,5,570.241104107
中国政法大学,5,591.224117118
中国政法大学,5,591.224117118
首都经济贸易大学,6,595.226114112
北京印刷学院,4,548.211113087
北京物资学院,5,538.217115106
中国戏曲学院,2,587.238106106
中国戏曲学院,2,587.238106106
南开大学,6,634.238122115
天津科技大学,10,533.219092101
中国民航大学,3,558.235109070
天津师范大学,15,580.229119112
天津外国语大学,27,553.212114093
天津财经大学,6,559.234110073
天津财经大学,6,559.234110073
华北理工大学,6,537.225098093
石家庄铁道大学,2,533.223112111
河北师范大学,5,543.225114100
中北大学,2,539.248110077
山西财经大学,37,538.242106098
大连海事大学,4,576.227112118
东北财经大学,5,591.237109137
沈阳工业大学,8,531.222100115
吉林大学,19,599.212121120
延边大学,4,540.231107110
东北师范大学,7,589.242120110
长春理工大学,8,532.222108094
东北林业大学,10,551.225097082
东北农业大学,4,548.233108098
黑龙江大学,14,524.223104096
哈尔滨商业大学,8,533.209100094
复旦大学,4,661.257127123
上海交通大学,1,659.259126134
上海海事大学,12,566.223119103
华东政法大学,10,616.242116137
上海立信会计金融学院,17,572.233106089
南京大学,6,650.261113129
苏州大学,8,600.226112134
中国矿业大学,4,570.236112100
河海大学,4,585.235105118
中国药科大学,2,563.240118073
江苏科技大学,16,543.225106106
常州大学,15,524.224090096
南京邮电大学,16,524.226090102
南京林业大学,6,554.220102100
江苏大学,14,560.247106099
苏州科技大学,18,548.220122071
南京审计大学,11,588.243110114
西交利物浦大学,20,528.219101101
浙江大学,11,652.253124143
浙江农林大学,9,530.228099100
浙江工商大学,24,566.211108118
浙江师范大学,19,562.228114104
浙江财经大学,19,571.215109117
宁波诺丁汉大学,7,565.251104094
宁波诺丁汉大学,7,565.251104094
安徽农业大学,5,538.230101098
安徽财经大学,29,542.236098102
厦门大学,12,623.241114116
福州大学,4,583.230117122
福建农林大学,2,540.237109080
福建师范大学,6,547.216113093
南昌大学,6,577.241113105
东华理工大学,7,532.207109123
江西理工大学,4,535.219110096
江西师范大学,21,549.241099097
江西财经大学,9,579.248113091
江西科技师范大学,2,538.233115088
山东大学,14,614.250117133
山东大学威海分校,6,596.237112122
中国海洋大学,9,589.230113127
山东科技大学,8,547.229110083
济南大学,15,555.228111096
山东财经大学,25,559.235107114
青岛大学,4,574.234110126
山东师范大学,32,559.245114095
郑州大学,14,587.243112116
河南师范大学,15,535.220112083
河南大学,14,564.234102101
河南财经政法大学,13,536.228108099
武汉大学,12,639.243121132
华中科技大学,6,580.247112113
华中科技大学,6,580.247112113
武汉理工大学,5,555.220106115
华中师范大学,4,591.236117120
中南财经政法大学,14,600.248121099
长江大学,6,543.233093106
武汉工程大学,4,537.221104091
湖北工业大学,7,539.233102088
湖北大学,12,566.224116108
中南民族大学,50,542.233094078
三峡大学,10,538.213104107
中南大学,10,604.233117130
湖南大学,8,608.235123119
湖南师范大学,6,588.245108109
湘潭大学,8,573.227113099
长沙理工大学,6,560.252101095
湖南农业大学,7,534.217111110
中南林业科技大学,14,523.222101119
南华大学,4,539.223103097
湖南工业大学,8,528.220109081
湖南科技大学,18,545.223102098
湖南工商大学,4,527.212105102
中山大学,2,627.255110116
中山大学,2,627.255110116
暨南大学,18,594.246110113
广州大学,6,550.234110089
广东工业大学,6,549.238106102
华南师范大学,8,586.240105113
深圳技术大学,2,530.221106097
深圳技术大学,2,530.221106097
海南大学,6,575.239111111
重庆大学,5,603.234121114
西南大学,4,588.230121114
重庆师范大学,13,554.238112090
西南政法大学,23,600.228106119
重庆工商大学,24,550.240102107
四川大学,2,621.236121129
西南交通大学,5,587.242114109
西南财经大学,20,600.249121114
成都理工大学,7,529.235121077
成都信息工程大学,8,536.227099102
西南民族大学,19,544.204099114
四川师范大学,24,562.229118101
贵州大学,6,553.212107100
西北工业大学,2,596.242099120
西北农林科技大学,4,582.237105124
西北大学,17,581.225104111
长安大学,8,578.222108108
西安工业大学,8,524.218101105
西安科技大学,4,550.230106087
西安石油大学,4,542.241097099
陕西中医药大学,5,545.235122077
西安外国语大学,16,571.223106108
西北政法大学,35,584.247109124
西安财经大学,29,537.208092109
西安邮电大学,5,553.250097103
兰州大学,1,579.224106117
兰州大学,1,579.224106117
兰州理工大学,2,527.217105083
兰州交通大学,9,532.232107087
西北师范大学,11,540.220102114
西北民族大学,49,528.218110075
甘肃政法大学,7,534.219109115
甘肃中医药大学,4,547.230102103
甘肃中医药大学,4,547.230102103
宁夏大学,160,523.227106095
宁夏大学,160,523.227106095
宁夏大学,160,523.227106095
宁夏医科大学,104,527.210102080
北方民族大学,79,528.225109087
