基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
003834,华夏能源革新股票,2.94,2.94,-0.07%,12.09%,45.04%,77.97%,94.32%,123.74%,254.22%,156.77%,8.77%,194%,123.7443%,0.15%
001156,申万菱信新能源汽车混合,2.6160,2.6160,-1.10%,10.85%,36.61%,52.45%,74.75%,114.78%,242.41%,147.96%,8.59%,161.60%,114.7783%,0.15%
002083,新华鑫动力灵活配置混合A,2.5270,2.5270,-0.39%,10.98%,35.93%,64.52%,73.32%,135.07%,263.60%,145.10%,8.69%,152.70%,135.0698%,0.10%
002084,新华鑫动力灵活配置混合C,2.5140,2.5140,-0.40%,10.99%,35.89%,64.42%,73.26%,134.95%,263.29%,144.31%,8.69%,151.40%,134.9533%,0.10%
009644,东方阿尔法优势产业混合A,1.4151,1.4151,-0.17%,9.96%,35.70%,49.67%,41.24%,---,---,---,7.83%,41.51%,41.51%,0.15%
009645,东方阿尔法优势产业混合C,1.4115,1.4115,-0.17%,9.96%,35.64%,49.48%,40.90%,---,---,---,7.83%,41.15%,41.15%,0.00%
005927,创金合信新能源汽车股票A,2.3443,2.3443,-0.19%,11.67%,35.16%,63.54%,63.34%,104.72%,156.68%,---,8.64%,134.43%,104.7245%,0.15%
005928,创金合信新能源汽车股票C,2.2991,2.2991,-0.19%,11.65%,35.08%,63.23%,62.78%,103.32%,153.09%,---,8.62%,129.91%,103.3162%,0.00%
002190,农银新能源主题,2.9787,2.9787,-0.58%,8.16%,33.55%,48.67%,92.86%,162.76%,275.86%,146.13%,6.80%,197.87%,162.7646%,0.15%
001951,金鹰改革红利混合,2.3940,2.3940,-0.95%,11.82%,33.52%,55.96%,63.52%,115.68%,178.70%,108.72%,8.82%,139.40%,115.6757%,0.15%
008640,方正富邦科技创新A,1.8902,1.8902,-0.85%,11.77%,33.37%,51.18%,67.65%,---,---,---,8.93%,89.02%,89.02%,0.15%
008641,方正富邦科技创新C,1.8856,1.8856,-0.86%,11.77%,33.33%,51.11%,67.47%,---,---,---,8.92%,88.56%,88.56%,0.00%
000209,信诚新兴产业混合,3.0660,3.0660,-0.84%,8.38%,33.07%,43.74%,65.91%,107.02%,200.88%,107.44%,5.98%,206.60%,107.0223%,0.15%
001606,农银工业4.0混合,3.7309,3.7309,-0.63%,8.62%,33.02%,46.64%,88.13%,170.98%,290.79%,144.33%,6.74%,273.09%,170.9834%,0.15%
400015,东方新能源汽车混合,3.0161,3.4761,-0.98%,9.82%,32.11%,64.09%,77.66%,119.67%,197.80%,113.54%,7.43%,302.1540%,119.6723%,0.15%
004671,中融核心成长,1.6535,1.6535,1.16%,11.26%,32.03%,46.48%,45.29%,78.91%,179.35%,70.11%,7.18%,65.35%,78.9115%,0.15%
540008,汇丰晋信低碳先锋股票,3.3441,3.4441,1.09%,8.84%,31.93%,60.85%,69.79%,128.55%,258.19%,115.60%,6.16%,264.6733%,128.5470%,0.15%
004745,长盛创新驱动灵活配置混合,2.1175,2.1175,-0.52%,10.30%,31.74%,49.54%,58.64%,108.13%,188.57%,103.98%,7.44%,111.75%,108.1286%,0.15%
004812,中欧先进制造股票A,2.8739,2.8739,-0.85%,8.53%,31.36%,48.98%,81.04%,130.54%,254.58%,---,6.46%,187.39%,130.5391%,0.15%
004813,中欧先进制造股票C,2.8657,2.8657,-0.85%,8.51%,31.27%,48.67%,80.35%,128.74%,255.11%,---,6.44%,186.57%,128.7436%,0.00%
001753,红土创新新兴产业混合,1.6340,1.6340,0.37%,11.38%,31.24%,54.44%,56.06%,78%,133.76%,68.80%,8.64%,63.40%,77.9956%,0.15%
007306,华泰柏瑞基本面智选A,2.5984,2.5984,-0.17%,9.72%,31.21%,40.25%,46.27%,106.55%,---,---,7.37%,159.84%,106.5501%,0.15%
007307,华泰柏瑞基本面智选C,2.5774,2.5774,-0.16%,9.72%,31.19%,40.16%,46.09%,106.03%,---,---,7.36%,157.74%,106.0272%,0.00%
002345,华夏高端制造混合,1.6850,1.6850,0.18%,10.13%,31.13%,42.43%,65.20%,100.60%,171.34%,81.18%,6.78%,68.50%,100.5952%,0.15%
006250,上投摩根动力精选,2.7679,2.7679,-0.85%,10.79%,31.12%,48.14%,69.76%,114.22%,---,---,8.63%,176.79%,114.2172%,0.15%
005669,前海开源公用事业股票,1.7876,1.7876,-0.70%,10.72%,30.86%,53.34%,70.52%,69.38%,85.15%,---,7.60%,78.76%,69.3765%,0.15%
000336,农银研究精选混合,3.9424,3.9424,-0.26%,9.58%,30.67%,40.91%,81.69%,160.10%,312.69%,166.16%,7.43%,294.24%,160.1042%,0.15%
005968,创金合信工业周期股票A,3.0789,3.0789,0.85%,11.41%,30.40%,49.66%,86.35%,146.79%,296.36%,---,9.46%,207.89%,146.7858%,0.15%
005969,创金合信工业周期股票C,3.0257,3.0257,0.85%,11.39%,30.32%,49.38%,85.72%,145.08%,291.27%,---,9.44%,202.57%,145.0753%,0.00%
009147,建信新能源行业股票,1.8098,1.8098,-0.98%,7.44%,29.55%,49.40%,79.58%,---,---,---,4.70%,80.98%,80.98%,0.15%
005939,工银新能源汽车混合A,2.9985,2.9985,-0.84%,10.32%,29.54%,59.04%,69.30%,106.92%,200.72%,---,8.03%,199.85%,106.9215%,0.15%
005940,工银新能源汽车混合C,2.9461,2.9461,-0.84%,10.32%,29.49%,58.87%,68.97%,106.12%,196.57%,---,8.02%,194.61%,106.1219%,0.00%
210008,金鹰策略配置混合,2.4143,3.0143,-0.77%,9.57%,29.42%,42.34%,23.82%,107.57%,170.36%,100.86%,6.81%,246.5138%,107.5746%,0.15%
161725,招商中证白酒指数,1.5533,3.1844,0.29%,10.82%,29.27%,62.02%,78.43%,139.27%,343.19%,221.31%,8.88%,490.1022%,139.2659%,0.10%
006424,嘉合锦程混合A,2.3020,2.4020,1.21%,13.42%,29.27%,51.89%,51.78%,114.06%,152.33%,---,10.22%,152.4781%,114.0599%,0.15%
002251,华夏军工安全混合,1.9090,1.9090,1.27%,13.77%,29.25%,36.65%,74.50%,97.62%,146.96%,99.27%,9.02%,90.90%,97.6190%,0.15%
006425,嘉合锦程混合C,2.2637,2.3637,1.21%,13.41%,29.18%,51.57%,51.18%,112.39%,148.38%,---,10.21%,148.4527%,112.3945%,0.00%
501057,汇添富中证新能源汽车A,2.3043,2.3043,-0.99%,10.23%,29.08%,59.82%,75.99%,113.12%,200.43%,---,7.83%,130.43%,113.1243%,0.12%
501058,汇添富中证新能源汽车C,2.2867,2.2867,-0.99%,10.22%,29.05%,59.72%,75.78%,112.60%,198.92%,---,7.83%,128.67%,112.5976%,0.00%
002703,长城久源灵活配置混合,1.8697,1.8697,1%,13.05%,28.84%,31.97%,51.42%,55.08%,77.76%,84.75%,8.36%,86.97%,55.0846%,0.15%
460001,华泰柏瑞盛世中国混合,0.9038,4.3558,0.18%,9.26%,28.80%,35.46%,41.77%,93.38%,171.78%,95.91%,7.29%,1063.6327%,93.3798%,0.15%
005743,长安裕隆混合A,3.4963,3.4963,0.60%,11.61%,28.56%,44.60%,60.84%,100.10%,260.89%,---,9.09%,249.63%,100.0973%,0.15%
005744,长安裕隆混合C,3.4642,3.4642,0.60%,11.60%,28.51%,44.41%,60.44%,99.11%,259.77%,---,9.08%,246.42%,99.1148%,0.00%
001838,国投瑞银国家安全混合,1.4540,1.4540,1.82%,15.12%,28.45%,35.26%,79.95%,99.45%,140.33%,86.41%,9.65%,45.40%,99.4513%,0.15%
005412,金信民长混合A,1.5142,1.5142,0.70%,9.29%,28.33%,32.03%,11.72%,---,---,---,6.91%,51.42%,51.42%,0.08%
005413,金信民长混合C,1.4399,1.4399,0.71%,9.28%,28.32%,31.98%,11.65%,---,---,---,6.91%,43.99%,43.99%,0.00%
006371,长安鑫盈混合A,2.5594,2.5594,0.62%,11.75%,28.30%,43.20%,71.78%,109.92%,---,---,9.35%,155.94%,109.9245%,0.15%
005708,国联安远见成长混合,2.5530,2.5530,0.51%,10.95%,28.26%,37.90%,47.36%,83.12%,178.80%,---,9.20%,155.30%,83.1158%,0.15%
005341,长安裕泰混合A,2.9833,2.9833,0.82%,12.14%,28.20%,43.25%,64.80%,102.57%,252.76%,196.29%,9.69%,198.33%,102.5735%,0.12%
006372,长安鑫盈混合C,2.5465,2.5465,0.62%,11.73%,28.20%,42.89%,71.09%,108.27%,---,---,9.33%,154.65%,108.2686%,0.00%
005342,长安裕泰混合C,3.0018,3.0018,0.82%,12.13%,28.18%,43.20%,64.68%,102.28%,253.44%,198.12%,9.68%,200.18%,102.2776%,0.00%
007141,嘉合稳健增长混合A,1.4061,1.4061,1.33%,12.65%,27.99%,39.36%,---,---,---,---,9.95%,40.61%,40.61%,0.15%
007142,嘉合稳健增长混合C,1.4025,1.4025,1.32%,12.63%,27.92%,39.14%,---,---,---,---,9.94%,40.25%,40.25%,0.00%
000828,泰达转型机遇,2.3720,2.5920,-0.55%,7.38%,27.87%,51.08%,58.03%,106.44%,267.18%,152.07%,5.14%,185.0313%,106.4403%,0.12%
004557,北信瑞丰鼎丰灵活配置混合,1.4222,1.4222,0.40%,12.21%,27.83%,32.75%,25.78%,38.05%,---,---,7.29%,42.22%,38.0509%,0.15%
004925,长信低碳环保行业量化股票,1.9746,1.9746,-1.21%,8.16%,27.77%,47.64%,62.81%,105.22%,167.60%,99.70%,5.14%,97.46%,105.2172%,0.15%
