学校名称,计划数,最低分数
北京大学,8,665.262138119
清华大学,14,667.257140131
中国人民大学,7,644.257140106
北京航空航天大学,17,638.250143116
北京理工大学,26,598.231121109
中国农业大学,10,574.222111094
中央民族大学,40,551.234101097
北京大学医学部,9,643.250141102
北京交通大学,51,573.215111111
北京科技大学,32,566.237116114
北京化工大学,54,541.186128097
北京邮电大学,10,548.209104111
北京邮电大学,10,548.209104111
北京林业大学,35,537.213109105
北京中医药大学,29,542.220104098
北京外国语大学,3,474.144101088
中国传媒大学,10,514.160101101
中央财经大学,6,626.235123108
中央财经大学,6,626.235123108
北京体育大学,17,502.180075099
中国政法大学,25,519.206084105
中国政法大学,25,519.206084105
中国政法大学,25,519.206084105
中国政法大学,25,519.206084105
中国政法大学,25,519.206084105
北京工业大学,4,507.182111105
北京工业大学,4,507.182111105
北方工业大学,20,491.199107087
北京工商大学,24,490.153103092
首都经济贸易大学,10,555.224107097
北京信息科技大学,32,506.168131087
北京印刷学院,14,464.188093097
北京建筑大学,7,493.195122088
南开大学,18,615.246121116
天津大学,36,599.252127099
天津医科大学,12,595.210122105
河北工业大学,20,534.209102098
天津科技大学,66,493.185103098
天津工业大学,42,472.198098084
中国民航大学,28,518.203095097
天津师范大学,52,485.160104099
天津外国语大学,24,498.147112092
天津财经大学,32,534.196107104
东北大学秦皇岛分校,54,547.204134089
东北大学秦皇岛分校,54,547.204134089
燕山大学,10,525.208117090
华北理工大学,28,467.165097080
石家庄铁道大学,18,470.179091086
河北医科大学,11,553.197093117
太原理工大学,40,516.175111091
中北大学,26,472.169097095
山西财经大学,43,488.184104096
东北大学,36,549.207128097
大连理工大学,9,536.187111120
大连理工大学,9,536.187111120
辽宁大学,10,521.215113091
大连海事大学,19,523.196107091
东北财经大学,12,516.203122106
辽宁科技大学,24,468.166102090
辽宁工程技术大学,28,463.146102103
沈阳建筑大学,19,469.184114089
沈阳农业大学,19,463.168104086
大连医科大学,19,567.198121104
沈阳药科大学,19,464.202097089
沈阳工业大学,37,470.172101099
中国医科大学,7,570.215123112
吉林大学,81,565.209115103
延边大学,11,469.170095092
东北师范大学,18,543.192136096
长春理工大学,18,475.188074092
东北电力大学,67,481.178122086
哈尔滨工业大学,10,616.237118109
哈尔滨工程大学,21,543.211099100
东北林业大学,54,475.185094101
东北农业大学,4,464.137102076
黑龙江大学,15,477.172113098
东北石油大学,15,464.153130093
黑龙江中医药大学,20,492.162116099
哈尔滨商业大学,12,484.162105104
哈尔滨理工大学,35,477.182125094
复旦大学,4,660.265141116
上海交通大学,5,661.264136111
同济大学,27,630.242141098
复旦大学医学院,2,651.235136117
上海交通大学医学院,4,646.254140112
华东理工大学,22,559.202115114
东华大学,32,547.197115105
上海财经大学,22,620.236142111
上海理工大学,70,525.212114089
上海海事大学,38,501.196106096
上海应用技术大学,22,465.159077097
上海海洋大学,6,468.178086092
华东政法大学,10,563.215114104
上海电力学院,40,492.198106094
上海立信会计金融学院,42,518.173121097
上海电机学院,21,471.158091097
上海第二工业大学,8,482.162099103
南京大学,13,642.253140103
东南大学,34,597.235129096
苏州大学,34,558.242112094
南京航空航天大学,15,568.229122099
南京理工大学,13,563.222117101
中国矿业大学,86,503.182096104
河海大学,46,552.226098088
江南大学,16,542.219121091
南京农业大学,28,517.184110107
中国药科大学,45,522.165121100
江苏科技大学,62,482.169118104
南京工业大学,58,500.176100094
常州大学,45,470.184098093
南京邮电大学,40,544.197118098
南京林业大学,54,486.192113097
江苏大学,45,512.198090102
南京信息工程大学,30,524.204118099
南京中医药大学,12,513.196109095
苏州科技大学,28,479.182086105
南京审计大学,18,541.184107099
西交利物浦大学,40,463.138102097
浙江大学,11,653.265143112
杭州电子科技大学,31,535.231107104
浙江工业大学,26,519.191097094
浙江工商大学,20,534.184102105
中国计量大学,25,493.160098094
浙江师范大学,28,500.183103093
浙江财经大学,17,522.203081097
宁波诺丁汉大学,9,482.148112089
中国科学技术大学,7,649.265137116
合肥工业大学,18,509.187090110
合肥工业大学,18,509.187090110
安徽理工大学,50,463.144107100
安徽农业大学,25,466.158100082
安徽财经大学,47,475.165106100
厦门大学,8,511.184094101
厦门大学,8,511.184094101
福州大学,20,533.185125102
福建农林大学,18,464.167088091
南昌大学,24,527.203121098
华东交通大学,40,476.190105098
东华理工大学,27,463.179106080
江西理工大学,72,468.169095075
江西师范大学,20,479.158106103
江西财经大学,16,533.206099098
山东大学,45,578.204119106
山东大学威海分校,10,553.221109092
中国海洋大学,2,496.190087090
中国海洋大学,2,496.190087090
中国海洋大学,2,496.190087090
中国海洋大学,2,496.190087090
山东科技大学,96,489.148103114
青岛科技大学,40,484.185101095
济南大学,45,470.175102099
山东理工大学,65,473.162108093
山东财经大学,30,519.175097107
青岛大学,11,526.183121088
山东师范大学,37,496.184099092
郑州大学,41,531.183114106
华北水利水电大学,55,463.151095099
河南大学,16,499.178105097
河南师范大学,4,594.228113103
河南师范大学,4,594.228113103
武汉大学,43,615.255112109
华中科技大学,38,610.229125116
华中农业大学,37,517.186110090
华中农业大学,37,517.186110090
华中农业大学,37,517.186110090
武汉理工大学,29,559.225099096
中南财经政法大学,15,572.206116112
武汉科技大学,20,509.194118089
长江大学,21,465.176085091
武汉工程大学,20,473.177105085
湖北工业大学,22,478.149117101
湖北大学,18,489.156107106
中南民族大学,96,472.164092085
三峡大学,42,476.173092099
中南大学,99,576.234115096
湖南大学,50,572.242130094
湖南师范大学,10,540.200101100
湘潭大学,7,496.184099078
长沙理工大学,54,497.199088101
湖南农业大学,28,465.143108097
中南林业科技大学,56,469.149090095
湖南中医药大学,38,495.194088094
南华大学,46,475.166104098
湖南工业大学,32,470.203112104
湖南科技大学,22,480.172102089
中山大学,18,604.245110102
华南理工大学,4,580.222107099
华南理工大学,4,580.222107099
暨南大学,31,560.210105108
广州中医药大学,12,521.180110103
广州大学,13,496.175091098
广东工业大学,24,497.195108069
南方医科大学,11,478.179073095
南方医科大学,11,478.179073095
广西大学,20,488.189090096
海南大学,13,501.151116111
海南医学院,8,496.227100086
重庆大学,2,561.196112100
重庆大学,2,561.196112100
西南大学,26,535.194101112
重庆邮电大学,53,515.190114087
重庆交通大学,65,486.150103080
重庆医科大学,15,557.218114101
重庆师范大学,9,516.207116100
西南政法大学,16,556.203102111
重庆理工大学,35,463.196125098
重庆工商大学,33,503.199111088
四川大学,26,592.208132115
电子科技大学,11,604.247131101
西南交通大学,29,549.221118096
四川农业大学,40,464.160093088
西南财经大学,31,583.205112114
西南石油大学,40,463.145086094
成都理工大学,28,497.199097100
成都信息工程大学,29,486.189124093
西南民族大学,21,483.169100085
四川师范大学,39,485.192084098
贵州大学,9,485.189091091
云南大学,13,517.169111094
昆明理工大学,60,472.171110092
西安交通大学,38,618.233129112
西北工业大学,36,587.227105125
西北农林科技大学,52,526.208113101
西北大学,31,546.202108098
西安电子科技大学,59,576.222117104
长安大学,76,534.199121093
陕西师范大学,38,555.206120096
西安理工大学,17,522.230125091
西安工业大学,30,465.175123085
西安建筑科技大学,32,498.176115091
西安科技大学,61,496.179086108
西安石油大学,40,469.139090100
陕西科技大学,30,480.143098097
西北政法大学,11,542.214098109
西安邮电大学,15,490.186108099
兰州大学,4,521.191110097
兰州大学,4,521.191110097
兰州交通大学,72,478.176099098
甘肃中医药大学,5,492.161109094
青海大学,8,475.183098101
宁夏大学,,479.188093083
宁夏医科大学,465,500.168091094
北方民族大学,101,471.170079100
新疆大学,10,471.183086090
石河子大学,25,465.174098084
石河子大学,25,465.174098084
