学校名称,计划数,最低分数
北京大学,8,661.254119129
清华大学,1,668.256120145
中国人民大学,7,646.240116131
北京航空航天大学,2,622.248116119
北京理工大学,2,613.247120107
北京师范大学,7,629.254120127
中央民族大学,26,595.254114085
北京化工大学,10,588.239112110
北京中医药大学,2,603.239112120
北京外国语大学,5,613.236106135
中国传媒大学,8,558.225101102
中央财经大学,3,601.233099114
中央财经大学,3,601.233099114
北京体育大学,7,578.222110108
中国政法大学,5,593.220113121
中国政法大学,5,593.220113121
首都经济贸易大学,6,590.223101118
北京印刷学院,2,552.220114097
北京物资学院,1,585.220110115
北京物资学院,1,585.220110115
南开大学,6,621.248113127
天津科技大学,9,558.222114109
中国民航大学,2,572.224103109
天津师范大学,16,575.248108096
天津外国语大学,32,558.202109115
天津财经大学,6,583.228100121
天津财经大学,6,583.228100121
华北理工大学,6,541.209102112
石家庄铁道大学,2,544.223111096
河北师范大学,5,549.225107125
中北大学,4,550.221102113
山西财经大学,35,549.215101113
大连海事大学,4,569.212119100
东北财经大学,7,555.225105105
沈阳工业大学,9,546.206099116
吉林大学,8,603.239115107
延边大学,4,551.235110107
东北师范大学,7,591.231112113
长春理工大学,6,548.206116092
东北林业大学,7,566.235113125
东北农业大学,2,542.240101100
黑龙江大学,14,551.213104112
哈尔滨商业大学,8,540.209114113
复旦大学,4,650.235117132
上海交通大学,1,652.248114133
上海海事大学,14,571.220111097
华东政法大学,10,607.240121110
上海立信会计金融学院,17,579.231102121
南京大学,5,641.249122130
苏州大学,9,603.238121114
中国矿业大学,3,579.228102121
河海大学,5,593.233112118
中国药科大学,2,582.228107115
江苏科技大学,18,546.236098097
常州大学,15,548.208096091
南京邮电大学,14,570.250108091
南京林业大学,6,568.232109098
江苏大学,14,550.212110097
苏州科技大学,28,557.218111109
南京审计大学,11,591.220101134
西交利物浦大学,20,548.218114094
浙江大学,9,642.254116135
浙江工商大学,24,545.225111098
浙江师范大学,18,577.231106109
浙江财经大学,20,562.227105115
宁波诺丁汉大学,7,567.236102107
宁波诺丁汉大学,7,567.236102107
安徽农业大学,5,546.226109110
安徽财经大学,23,557.222106110
厦门大学,11,622.251116128
福州大学,4,583.228107113
福建农林大学,4,546.220105107
福建师范大学,8,548.223120094
南昌大学,6,575.221112105
东华理工大学,8,547.216114102
江西理工大学,4,542.224107118
江西师范大学,18,553.214106107
江西财经大学,9,562.217107111
江西科技师范大学,2,540.226107093
山东大学,15,613.231117127
山东大学威海分校,8,597.220107125
中国海洋大学,9,603.227115130
山东科技大学,14,552.213109115
济南大学,15,565.224108116
山东财经大学,25,567.216103116
青岛大学,4,572.241114121
山东师范大学,36,553.242110108
郑州大学,15,584.228120122
河南师范大学,15,545.220108101
河南大学,14,565.228096108
武汉大学,14,632.256123129
华中科技大学,5,585.231108118
华中科技大学,5,585.231108118
武汉理工大学,5,585.227118117
华中师范大学,4,598.240115131
中南财经政法大学,15,606.246119124
长江大学,5,541.228105103
武汉工程大学,4,545.196106121
湖北工业大学,10,547.213112108
湖北大学,12,561.215119108
中南民族大学,50,555.221099113
三峡大学,10,549.214097113
中南大学,10,609.242118117
湖南大学,10,606.241113117
湖南师范大学,8,582.218102120
湘潭大学,8,574.231116115
长沙理工大学,4,556.207109110
湖南农业大学,5,545.197106120
中南林业科技大学,15,547.230099107
南华大学,4,546.210101116
湖南工业大学,6,550.230117108
湖南科技大学,18,551.230108115
中山大学,2,621.241110128
中山大学,2,621.241110128
暨南大学,18,599.228121125
广州大学,6,568.221100114
广东工业大学,6,562.236101111
华南师范大学,2,539.213101119
华南师范大学,2,539.213101119
海南大学,6,571.227119105
重庆大学,5,601.220109129
西南大学,4,590.236113127
重庆邮电大学,2,561.214099105
重庆师范大学,9,558.221110119
西南政法大学,23,597.229115124
重庆工商大学,24,539.201108109
四川大学,2,620.229121126
西南交通大学,5,589.241103121
西南财经大学,19,608.246113125
成都理工大学,9,558.214112108
成都信息工程大学,5,551.214108125
西南民族大学,19,551.201104110
四川师范大学,27,567.224116112
贵州大学,6,563.223114102
云南大学,5,584.238115110
西北工业大学,2,587.232116120
西北农林科技大学,2,578.218118127
西北大学,21,590.217107107
长安大学,8,580.227099110
陕西师范大学,10,591.231115093
西安工业大学,8,551.210112115
西安科技大学,6,554.218099114
西安石油大学,4,548.208107109
西安外国语大学,16,566.222104118
西北政法大学,35,581.237104123
西安邮电大学,3,553.231102104
兰州大学,1,588.224108111
兰州大学,1,588.224108111
兰州交通大学,9,550.219120103
西北民族大学,29,538.211105099
宁夏大学,19,548.219108113
宁夏大学,19,548.219108113
宁夏医科大学,88,538.231104097
北方民族大学,47,543.206101099
新疆大学,2,562.210116105
石河子大学,10,542.219107117
