学校名称,科类,批次,平均分,最高分,最低分,最低位次,学位,学科门类,专业,专业名称
吉林大学,理科,本科一批,589,589,589,799,本科,医学,临床医学类,临床医学（5+3一体化）（一院）
吉林大学,理科,本科一批,588,588,588,821,本科,医学,临床医学类,临床医学（5+3一体化）（二院）
吉林大学,理科,本科一批,587,587,587,844,本科,医学,临床医学类,临床医学（五年）（一院）
吉林大学,理科,本科一批,586,586,586,857,本科,医学,临床医学类,临床医学（五年）（二院）
吉林大学,理科,本科一批,585,585,585,876,本科,医学,临床医学类,临床医学（五年）（三院）
吉林大学,理科,本科一批,586,588,584,894,本科,理学,生物科学类,生物科学类（含生物科学、生物技术）
吉林大学,理科,本科一批,571,578,566,1420,本科,工学,机械类,车辆工程
吉林大学,理科,本科一批,577,587,566,1420,本科,工学,计算机类,软件工程
吉林大学,理科,本科一批,569,572,565,1458,本科,理学,化学类,化学类（含化学、应用化学、材料化学、高分子材料与工程、化学工程与工艺）
吉林大学,理科,本科一批,573,579,565,1458,本科,工学,电子信息类,电子信息类（含电子信息工程、电子科学与技术、微电子科学与工程、电子信息科学与技术、生物医学工程）
吉林大学,理科,本科一批,567,570,564,1491,本科,工学,农业工程类,农业机械化及其自动化
吉林大学,理科,本科一批,568,575,564,1491,本科,工学,计算机类,计算机类（含计算机科学与技术、物联网工程、网络空间安全）
吉林大学,理科,本科一批,563,564,562,1568,本科,经济学,经济学类,经济学类（含经济学、财政学、金融学、国际经济与贸易）
吉林大学,理科,本科一批,573,584,561,1592,本科,理学,心理学类,应用心理学
吉林大学,理科,本科一批,561,563,559,1658,本科,工学,电子信息类,通信工程（含通信工程、信息工程、空间信息与数字技术）
吉林大学,理科,本科一批,567,575,558,1694,本科,管理学,工商管理类,工商管理类（含工商管理、市场营销、人力资源管理、信息管理与信息系统）
吉林大学,理科,本科一批,563,568,557,1744,本科,理学,物理学类,物理学类（含物理学、应用物理学、核物理、光电信息科学与工程）
吉林大学,理科,本科一批,564,574,557,1744,本科,工学,自动化类,自动化类（含自动化、机器人工程）
吉林大学,理科,本科一批,563,571,555,1817,本科,工学,能源动力类,能源与动力工程
吉林大学,理科,本科一批,567,592,555,1817,本科,理学,数学类,数学类（含数学与应用数学、信息与计算科学、金融数学、统计学）
吉林大学,理科,本科一批,556,557,555,1817,本科,工学,交通运输类,交通运输类（含交通运输、交通工程、汽车服务工程、道路桥梁与渡河工程、物流工程）
吉林大学,理科,本科一批,563,596,554,1854,本科,工学,材料类,材料类（含材料科学与工程、无机非金属材料工程、材料成型及控制工程）
吉林大学,理科,本科一批,557,561,554,1854,本科,工学,仪器类,仪器类（含测控技术与仪器、电气工程及其自动化）
吉林大学,理科,本科一批,555,556,554,1854,本科,工学,机械类,机械类（含机械工程、工业工程、工程力学、智能制造工程）
吉林大学,理科,本科一批,557,559,553,1886,本科,管理学,图书情报与档案管理类,档案学
吉林大学,理科,本科一批,468,478,460,8968,本科,工学,农业工程类,农业机械化及其自动化（国家专项）
吉林大学,理科,本科一批,469,498,452,10007,本科,工学,食品科学与工程类,食品科学与工程类（含食品科学与工程、食品质量与安全）（国家专项）
吉林大学,文科,本科一批,615,615,614,437,本科,法学,法学类,法学
吉林大学,文科,本科一批,607,609,604,437,本科,法学,社会学类,社会学类（含社会学、社会工作、劳动与社会保障）
吉林大学,文科,本科一批,607,610,603,437,本科,法学,政治学类,外交学
吉林大学,文科,本科一批,606,609,603,437,本科,文学,新闻传播学类,新闻传播学类（含新闻学、广告学）
吉林大学,文科,本科一批,607,623,600,437,本科,哲学,哲学类,哲学
吉林大学,文科,本科一批,603,607,599,447,本科,文学,外国语言文学类,俄语
文华学院,理科,本科二批,-,-,393,19596,本科,管理学,工商管理类,会计学
文华学院,理科,本科二批,-,-,393,19596,本科,工学,计算机类,软件工程
文华学院,理科,本科二批,-,-,392,19755,本科,经济学,金融学类,金融学
文华学院,理科,本科二批,-,-,391,19917,本科,工学,电气类,电气工程及其自动化
文华学院,理科,本科二批,-,-,391,19917,本科,工学,建筑类,建筑学
文华学院,理科,本科二批,-,-,391,19917,本科,工学,计算机类,计算机科学与技术
文华学院,理科,本科二批,-,-,391,19917,本科,工学,电子信息类,电子科学与技术（智能芯片技术与应用）
文华学院,文科,本科二批,-,-,495,5517,本科,管理学,工商管理类,会计学
文华学院,文科,本科二批,-,-,491,5909,本科,法学,法学类,法学
文华学院,文科,本科二批,-,-,490,6003,本科,文学,中国语言文学类,汉语言文学
四川农业大学,理科,本科一批,-,-,488,5921,本科,经济学,金融学类,金融学
