学校名称,计划数,最低分数
北京联合大学,2,516.201108099
中国劳动关系学院,11,524.221110090
北京工商大学嘉华学院,2,482.229108065
北京工业大学耿丹学院,6,456.194092084
天津职业技术师范大学,5,524.218102093
天津商业大学,6,530.224103105
天津天狮学院,5,485.220105084
天津外国语大学滨海外事学院,6,494.224107080
天津商业大学宝德学院,7,485.213104077
南开大学滨海学院,20,496.207107092
天津理工大学中环信息学院,4,486.208088080
北京科技大学天津学院,4,471.221097055
天津大学仁爱学院,9,491.210100073
天津财经大学珠江学院,10,485.213101079
天津中德应用技术大学,6,501.211102089
河北工程大学,6,521.220103097
河北地质大学,4,513.208112091
河北医科大学,5,514.210099115
邢台学院,10,508.211113052
华北科技学院,19,513.219103112
河北金融学院,10,502.209097087
邯郸学院,11,507.214104092
张家口学院,3,503.189100105
华北理工大学轻工学院,5,481.231095073
河北外国语学院,3,477.201111064
河北东方学院,6,455.212098061
华北电力大学科技学院,2,501.222093093
河北工程大学科信学院,6,490.210100102
石家庄铁道大学四方学院,4,487.201096085
燕京理工学院,4,459.193094084
北京中医药大学东方学院,6,499.226107092
河北地质大学华信学院,8,475.221091075
河北环境工程学院,6,504.222104075
山西农业大学,2,512.221097116
山西医科大学,4,506.239100052
山西中医药大学,12,521.224116089
山西大同大学,5,521.227097100
太原师范学院,18,521.209107086
晋中学院,14,506.223087094
运城学院,10,503.223098067
吕梁学院,13,504.225108068
山西传媒学院,6,508.206100087
太原学院,10,506.228099098
中北大学信息商务学院,2,484.199093102
山西工程技术学院,4,501.216107094
内蒙古科技大学,3,512.239102071
内蒙古师范大学,15,509.225103086
内蒙古财经大学,4,517.217100105
内蒙古艺术学院,2,499.234111065
赤峰学院,5,502.222111078
呼伦贝尔学院,3,501.247103075
集宁师范学院,5,506.195107091
内蒙古鸿德文理学院,3,491.202105089
大连大学,3,511.211101085
沈阳大学,2,523.208104115
鞍山师范学院,2,505.223100102
大连民族大学,8,510.202111096
辽宁师范大学,2,520.250096086
辽宁对外经贸学院,2,474.202101070
大连东软信息学院,6,469.209097059
大连工业大学艺术与信息工程学院,5,466.194102080
沈阳科技学院,4,470.210105086
大连财经学院,10,478.199101086
吉林师范大学,9,505.214106095
吉林财经大学,8,523.229112103
通化师范学院,4,503.218112061
白城师范学院,2,504.213091110
吉林工商学院,10,502.226088061
长春工程学院,2,460.216105069
吉林农业科技学院,2,508.226099066
长春大学,4,516.217106101
吉林外国语大学,15,491.219104087
长春科技学院,2,467.201104081
长春理工大学光电信息学院,4,479.213091090
长春财经学院,6,491.225104062
长春大学旅游学院,14,475.212098074
哈尔滨师范大学,8,514.214110089
齐齐哈尔大学,3,514.214102116
哈尔滨学院,2,509.216099054
哈尔滨金融学院,4,506.199106099
黑龙江财经学院,11,469.206108082
上海工程技术大学,2,519.229104065
上海商学院,8,525.213102094
上海海关学院,5,534.228101112
上海杉达学院,11,475.226086083
上海建桥学院,5,472.218107066
上海外国语大学贤达经济人文学院,5,467.207092086
上海师范大学天华学院,3,477.247092051
上海立达学院,14,454.200099081
南通大学,5,531.248101106
盐城师范学院,10,504.238084100
金陵科技学院,2,504.210099071
徐州工程学院,30,500.210092097
南京工程学院,20,510.209105100
南京晓庄学院,10,517.231098075
南京航空航天大学金城学院,4,486.213101082
南京信息工程大学滨江学院,4,495.198099119
南京邮电大学通达学院,1,501.196105086
南京审计大学金审学院,4,514.200096106
常州大学怀德学院,12,478.186095077
南京特殊教育师范学院,9,502.220095084
嘉兴学院,6,524.200113103
浙江传媒学院,10,529.200105113
宁波大学科学技术学院,3,484.217103081
淮北师范大学,8,522.227108088
安庆师范大学,5,516.234110075
蚌埠工商学院,7,468.211102064
亳州学院,3,503.228088083
福建农林大学,6,496.218110080
集美大学,4,534.236115078
闽江学院,5,511.229106078
厦门理工学院,4,512.217104066
三明学院,7,494.233100081
龙岩学院,2,505.208111106
福建商学院,4,506.186093114
福建江夏学院,2,504.225090112
武夷学院,4,499.223113073
厦门大学嘉庚学院,15,505.213097092
福州大学至诚学院,7,490.200088100
厦门工学院,6,476.201098075
江西农业大学,2,510.229107085
江西科技师范大学,1,530.239103100
上饶师范学院,12,512.215100094
南昌工程学院,4,480.224110068
新余学院,4,508.205099089
九江学院,12,496.227092088
南昌理工学院,7,473.220107079
江西科技学院,3,471.203102068
南昌工学院,5,480.198106070
江西服装学院,1,455.200103067
江西工程学院,4,478.215097085
华东交通大学理工学院,6,488.219107090
东华理工大学长江学院,3,489.222114067
江西理工大学应用科学学院,4,487.227091074
江西中医药大学科技学院,2,497.220108071
江西师范大学科学技术学院,6,496.225102091
江西财经大学现代经济管理学院,4,495.204107079
萍乡学院,1,502.243095074
山东建筑大学,5,476.208090080
山东理工大学,5,515.235125061
山东农业大学,2,514.200105089
青岛农业大学,10,518.195110100
鲁东大学,4,533.218107108
烟台大学,5,532.251104070
德州学院,5,511.207113104
菏泽学院,4,505.240097086
潍坊学院,8,510.226107084
山东交通学院,4,495.222092119
山东工商学院,10,451.205091075
滨州学院,3,508.228100075
齐鲁医药学院,10,490.225111077
山东现代学院,7,477.224109041
烟台南山学院,14,479.215104079
青岛工学院,13,473.217103053
青岛黄海学院,13,469.215101070
山东协和学院,18,471.220104041
山东英才学院,8,464.199100076
青岛恒星科技学院,8,466.196100050
烟台大学文经学院,8,488.213099075
青岛理工大学琴岛学院,6,472.208098070
山东科技大学泰山科技学院,6,460.215094072
聊城大学东昌学院,6,487.242092086
齐鲁理工学院,3,498.197106088
齐鲁理工学院,3,498.197106088
河南理工大学,7,515.221108086
郑州轻工业大学,11,507.200107091
河南工业大学,15,521.238098075
河南科技大学,5,529.219102102
中原工学院,9,503.222106095
河南中医药大学,4,519.247105062
洛阳师范学院,8,511.223099077
河南工程学院,2,504.203115080
河南农业大学,4,512.221100098
郑州航空工业管理学院,4,508.212118079
平顶山学院,8,502.223111067
河南科技学院,8,503.220108080
周口师范学院,2,502.217104089
许昌学院,12,504.217106078
南阳师范学院,3,510.213107078
黄淮学院,20,504.200111098
洛阳理工学院,2,516.201101097
安阳工学院,4,498.211107086
南阳理工学院,9,502.226082101
河南城建学院,3,500.222103081
郑州师范学院,3,513.223104083
黄河科技学院,4,486.198102096
郑州工业应用技术学院,15,472.196100079
河南大学民生学院,6,472.212106087
信阳学院,4,487.231094097
郑州工程技术学院,4,495.233104078
河南财政金融学院,10,509.229100073
武汉纺织大学,2,519.228112097
湖北中医药大学,3,523.232111080
湖北文理学院,4,513.228104102
湖北经济学院,8,512.226102085
黄冈师范学院,7,510.233102097
武汉生物工程学院,6,476.210098084
武昌理工学院,1,488.181098088
武昌工学院,10,473.218104070
武汉科技大学城市学院,2,491.223109083
三峡大学科技学院,3,492.234107054
长江大学文理学院,6,473.216107068
湖北文理学院理工学院,4,487.217107067
文华学院,6,490.221101084
武汉华夏理工学院,3,468.195095072
湖南理工学院,3,522.199117098
湖南财政经济学院,8,518.226107113
衡阳师范学院,8,508.206094108
邵阳学院,5,469.218098063
湖南文理学院,6,520.221122078
湖南工商大学,4,525.233112087
湖南城市学院,14,502.215093095
长沙医学院,8,485.198094119
湖南涉外经济学院,4,453.226092057
南华大学船山学院,2,488.219089090
湖南理工学院南湖学院,2,494.214098077
长沙理工大学城南学院,2,493.225095082
韶关学院,10,505.217099092
广东金融学院,4,526.217106089
广东技术师范大学,15,511.221093097
广州商学院,9,463.215102071
北京理工大学珠海学院,5,489.207099066
吉林大学珠海学院,6,491.217117083
广东外语外贸大学南国商学院,8,474.216104076
广西科技大学,2,508.210101089
广西民族大学,6,510.218101094
桂林理工大学,4,490.227097095
梧州学院,3,491.230105082
桂林旅游学院,3,494.218101073
海南师范大学,8,527.238103095
海南医学院,2,500.220097089
海南热带海洋学院,4,501.221099082
三亚学院,7,473.201082089
海口经济学院,15,460.198102064
琼台师范学院,8,486.215106084
海南科技职业大学,2,467.207106057
重庆工商大学,3,533.220110092
重庆文理学院,3,523.244112069
重庆三峡学院,4,509.228106098
长江师范学院,2,527.234119091
重庆工程学院,8,464.207093106
重庆大学城市科技学院,29,477.211100074
重庆人文科技学院,10,490.215097078
四川外国语大学重庆南方翻译学院,14,477.208099064
重庆师范大学涉外商贸学院,34,491.228105066
重庆工商大学派斯学院,13,486.218106065
重庆邮电大学移通学院,16,485.221108064
重庆工商大学融智学院,3,492.213091083
西南科技大学,7,522.214111097
中国民用航空飞行学院,1,493.220087088
西南民族大学,46,519.219108081
西南医科大学,10,498.228109071
四川轻化工大学,4,514.207103116
绵阳师范学院,10,515.229097101
内江师范学院,5,509.206104085
宜宾学院,12,507.216103102
四川文理学院,3,481.205098088
乐山师范学院,6,508.219102094
攀枝花学院,3,508.237104079
成都东软学院,3,480.216111106
吉利学院,3,461.204100070
电子科技大学成都学院,6,488.227097079
成都理工大学工程技术学院,12,488.207099062
成都银杏酒店管理学院,10,470.197101088
四川工商学院,5,480.208087085
四川外国语大学成都学院,25,477.215110073
西南财经大学天府学院,30,485.216110084
四川文化艺术学院,4,479.197109080
西南科技大学城市学院,5,477.204088081
四川工业科技学院,10,470.217106066
贵州医科大学,1,513.237105096
贵州财经大学,2,514.232100087
贵州财经大学商务学院,3,484.206098093
大理大学,4,516.240098118
云南财经大学,5,514.212104109
云南民族大学,3,513.225101068
曲靖师范学院,3,510.213089098
云南大学旅游文化学院,58,469.226090081
昆明医科大学海源学院,1,489.207098092
云南师范大学文理学院,23,469.206110066
昆明理工大学津桥学院,4,475.194091085
延安大学,7,517.221101076
陕西理工大学,3,525.234111095
咸阳师范学院,8,526.230097099
渭南师范学院,2,503.213097064
西安文理学院,4,525.229092121
榆林学院,3,509.227097064
商洛学院,2,504.205104101
安康学院,2,506.232109083
西安医学院,6,511.218112083
西安欧亚学院,7,472.226107046
西安外事学院,11,479.198102083
西安翻译学院,18,477.214102066
西京学院,4,484.234107067
西安思源学院,17,482.191097087
陕西国际商贸学院,12,475.200100080
西安明德理工学院,9,457.221108066
陕西服装工程学院,2,474.218106080
西安交通工程学院,1,502.210090101
陕西科技大学镐京学院,9,470.217100076
西安交通大学城市学院,5,494.224100057
西安建筑科技大学华清学院,6,477.231090081
西安财经大学行知学院,6,477.220091086
西安工商学院,5,472.225100074
延安大学西安创新学院,15,459.197103064
西安科技大学高新学院,6,479.203089072
西安汽车职业大学,2,458.198093063
西安信息职业大学,1,474.211096059
西北师范大学,11,508.224089080
兰州财经大学,17,515.229098099
西北民族大学,28,510.209096082
甘肃政法大学,1,526.222108099
甘肃中医药大学,2,502.223100086
陇东学院,1,507.220099073
兰州城市学院,4,508.226092094
甘肃民族师范学院,6,507.201104102
天水师范学院,5,512.239102074
河西学院,2,508.224099091
西北师范大学知行学院,6,499.225105087
兰州财经大学长青学院,15,484.213090092
兰州理工大学技术工程学院,2,491.242100078
兰州文理学院,6,509.222104086
青海民族大学,7,505.230092084
青海大学昆仑学院,5,482.204113082
北方民族大学,76,516.220109051
宁夏师范学院,379,513.229093075
宁夏理工学院,183,473.201100066
银川能源学院,903,451.181093083
宁夏大学新华学院,702,481.199095079
中国矿业大学银川学院,819,451.170094103
塔里木大学,3,504.237099076
新疆财经大学,19,503.217102104
新疆师范大学,8,510.232105097
喀什大学,18,502.223098104
新疆科技学院,24,491.225096080
伊犁师范大学,6,498.223098074
石河子大学科技学院,10,484.201100070
新疆天山职业技术大学,3,465.180089122
